id,num_orders
1028232,269.14786
1127204,249.89594
1212707,310.7123
1082698,282.60928
1400926,253.70267
1284113,213.75143
1197966,282.60928
1132739,286.41602
1057981,269.14786
1095932,238.6326
1454421,266.525
1149765,300.85202
1166964,254.07779
1010949,204.44366
1409575,300.85202
1181616,268.83737
1456020,198.68137
1264395,295.64224
1472931,295.99365
1412015,260.6831
1461229,267.45273
1014564,258.60162
1485914,141.1776
1345389,98.56165
1006833,101.83437
1174921,99.68255
1175393,113.706856
1152412,85.437
1497398,141.25204
1363486,85.437
1366766,51.551205
1192413,86.70838
1319547,86.448685
1337684,76.343575
1479766,111.41764
1460444,85.375175
1139730,66.4372
1115056,176.15381
1335827,176.15381
1385333,84.12163
1096323,281.0905
1230693,278.87704
1027016,279.3568
1181520,281.0905
1306234,238.63235
1271440,235.3668
1269834,185.78026
1176823,205.93356
1193098,151.6624
1034878,177.61124
1010243,291.91125
1451807,301.16333
1016845,291.91125
1198021,292.78452
1413802,292.78452
1231223,292.78452
1274226,283.22226
1425142,232.91266
1211593,277.07288
1419190,232.91266
1180223,348.6897
1194932,340.36032
1323477,313.98618
1371595,347.69376
1171521,346.37155
1052384,281.14246
1060921,347.26282
1261811,345.20303
1246502,369.03497
1497466,179.48119
1232717,99.18325
1136112,98.509285
1196334,102.190895
1349533,96.615486
1463406,100.8003
1447686,97.510254
1336105,110.38611
1012855,100.8003
1180646,102.190895
1062490,102.71675
1098228,143.14334
1101375,106.68431
1400016,129.53236
1439889,135.91728
1408468,116.891136
1044490,131.11203
1290002,118.79356
1190633,133.90541
1040430,129.82448
1049366,106.68431
1224120,98.09961
1293810,106.76047
1197335,137.10364
1323989,120.47384
1129467,124.6574
1229328,106.76047
1164395,147.92403
1217722,109.4629
1171266,98.09961
1024905,130.85309
1343027,386.04236
1141892,345.55746
1302404,362.2482
1170447,365.53226
1140772,1053.2915
1103484,1041.8951
1387134,392.0207
1117711,345.55746
1472121,1023.89484
1289523,878.1055
1091114,274.0046
1043572,274.0046
1103283,274.0046
1265051,274.0046
1168741,274.0046
1052776,274.0046
1206564,274.0046
1302153,274.0046
1083754,274.0046
1097952,274.0046
1251605,270.71298
1333032,270.71298
1086936,244.54236
1088412,341.97186
1236400,793.2197
1244516,790.4378
1380381,322.18088
1495062,252.31996
1439647,284.47653
1019214,244.54236
1316160,138.0194
1022008,50.56419
1138248,58.26987
1052922,57.875977
1181474,57.875977
1046475,62.747993
1216688,64.11335
1067565,59.52911
1008328,66.04201
1430287,57.875977
1406716,292.5899
1105380,292.5899
1248694,299.27545
1252163,293.52002
1443474,274.61325
1033716,294.49075
1300295,276.5067
1311882,294.49075
1257968,277.13535
1226362,274.61325
1030655,177.45941
1210527,520.5416
1278927,177.45941
1232239,276.52994
1133067,246.18843
1382522,244.00526
1219136,880.18225
1498130,681.2008
1251629,244.00526
1032092,244.00526
1249865,192.84592
1207630,819.8296
1144733,235.57718
1436768,233.42911
1148964,232.20778
1237346,246.50966
1206015,780.868
1105113,490.97
1430481,227.9032
1001589,227.9032
1224132,177.82092
1074380,154.11386
1097109,200.4295
1211246,200.4295
1390579,200.4295
1473058,171.36499
1186964,176.85202
1222837,142.75462
1342393,131.80833
1170472,135.4011
1170791,115.79877
1046653,140.37994
1195179,127.28321
1332509,108.30331
1438300,95.59379
1435748,188.81084
1052668,191.57764
1227060,139.18239
1342252,143.88939
1143109,146.28223
1394807,146.28223
1448374,163.19484
1028680,163.1285
1079691,163.19484
1402079,184.1965
1424446,198.45094
1133297,196.43445
1076214,195.80734
1173823,144.49107
1488584,106.85937
1072892,107.873764
1277491,110.882904
1290868,105.81527
1048888,145.12183
1138141,133.85599
1473125,107.873764
1196726,110.882904
1179278,107.873764
1282305,105.81527
1359903,109.45664
1355143,109.45664
1095889,112.46913
1250665,109.45664
1426610,144.58075
1390104,139.46576
1051519,112.46913
1337584,111.42503
1332667,109.45664
1075942,109.45664
1109804,120.075264
1316684,120.075264
1248315,117.062775
1113611,120.075264
1110867,140.92104
1247289,147.07188
1022953,120.075264
1160081,121.08966
1120430,120.075264
1487280,117.062775
1020081,24.233852
1329551,31.003298
1137610,178.85667
1072530,88.97669
1115708,25.18161
1203532,65.34985
1494216,22.772972
1116374,23.837997
1032497,181.30872
1413930,180.62206
1136118,27.13528
1254872,23.720726
1398257,23.782864
1364001,57.380184
1369843,55.053864
1379360,57.380184
1442044,54.100662
1285290,70.97437
1129707,72.58835
1086750,72.34529
1147262,53.474796
1025605,52.091545
1414158,54.90369
1082079,51.465687
1467510,75.88349
1374892,74.269516
1171352,67.559
1213246,55.371075
1279131,58.980827
1256386,54.90369
1234220,33.438778
1008206,34.11299
1267686,33.438778
1470186,35.281994
1233312,35.281994
1279379,34.11299
1431703,35.281994
1339938,34.11299
1010552,37.086353
1237947,38.840492
1175098,39.314445
1066074,56.760193
